feature_label,ipf_mean_expression,control_mean_expression,delta_ipf_vs_control
7896736,3.7033800840336144,3.8114294,-0.10804931596638578
7898355,2.8595994957983204,3.1837345999999997,-0.32413510420167935
7898373,2.9391538655462193,3.1500302,-0.2108763344537805
7898405,2.690514789915967,2.8785748,-0.18806001008403284
7899287,6.976530756302519,6.9864714,-0.009940643697481377
7899422,4.953793361344538,5.075007599999998,-0.12121423865546
7899484,3.616531596638655,3.707227000000001,-0.09069540336134585
7899560,4.662633949579828,4.767801,-0.10516705042017271
7899955,9.36229445378151,9.222766800000002,0.13952765378150822
7900336,7.013986890756302,7.052645600000002,-0.03865870924370007
7900350,2.7008081512605058,2.7517208000000006,-0.05091264873949486
7900538,6.16388504201681,6.0896536,0.07423144201680998
7901314,4.2379885714285725,4.389178,-0.1511894285714277
7901746,6.782352941176471,6.7379158000000015,0.04443714117646991
7902102,2.574326302521008,2.4841918,0.09013450252100785
7902787,3.9477836974789904,3.883144,0.06463969747899023
7903389,5.477490924369749,5.754723999999999,-0.27723307563024946
7904048,6.2369938655462205,6.432005199999999,-0.1950113344537785
7904166,2.837943697478992,2.821658199999999,0.016285497478992994
7904693,5.3934467226890765,5.303479400000001,0.08996732268907515
7904865,3.444536218487394,3.5487548,-0.10421858151260599
7904955,6.146138739495796,6.114737999999999,0.03140073949579669
7904959,4.357877731092438,4.171312,0.18656573109243801
7905037,4.538309159663864,4.6190544,-0.08074524033613528
7905077,3.4780341176470593,3.630157000000001,-0.1521228823529417
7905927,3.2017853781512593,3.251781199999999,-0.04999582184873974
7906233,2.64660781512605,2.7230894000000005,-0.0764815848739504
7907962,3.931777058823529,4.012986799999998,-0.0812097411764694
7907964,2.5776826890756306,2.6398519999999994,-0.06216931092436884
7907970,3.976893445378153,4.156673199999999,-0.17977975462184625
7908328,5.724998655462182,5.792776000000003,-0.06777734453782092
7908728,4.317158319327733,4.6159146,-0.2987562806722668
7908777,9.010922773109243,9.075270600000001,-0.06434782689075824
7909527,4.270233193277311,4.548643200000001,-0.27841000672269
7909839,4.544859579831933,4.3172912000000006,0.2275683798319328
7910096,3.7532143697478983,3.7857188,-0.03250443025210181
7910186,3.1888650420168068,3.3968245999999995,-0.20795955798319277
7910899,7.2775180672268895,7.179631600000002,0.09788646722688732
7910907,2.4863211764705886,2.5962891999999997,-0.10996802352941115
7910944,3.7783862184873955,3.7231280000000004,0.055258218487395094
7911699,5.65665781512605,5.684741,-0.028083184873949563
7912155,6.105813781512604,6.090541200000001,0.015272581512602912
7912194,4.8477910084033615,4.9838074,-0.13601639159663836
7912535,4.633050756302522,4.6945874,-0.0615366436974778
7912806,2.690514789915967,2.8785748,-0.18806001008403284
7912882,3.1521000840336133,3.2632415999999993,-0.111141515966386
7913185,4.027534201680672,4.0070422,0.020492001680672445
7913642,4.415901428571428,4.551436400000001,-0.13553497142857296
7913665,6.208226470588232,6.2475916,-0.03936512941176762
7914040,7.257786218487394,7.306157799999999,-0.048371581512605566
7914139,2.9966590756302525,3.1408594000000005,-0.14420032436974806
7914748,3.499419579831934,3.6903550000000007,-0.19093542016806664
7914807,2.6060089915966382,2.5335945999999994,0.07241439159663887
7914938,4.639485294117648,4.098908999999999,0.5405762941176491
7915074,2.4018690756302514,2.4037968000000007,-0.0019277243697493063
7915275,3.2156752100840325,3.0806225999999994,0.13505261008403302
7915284,3.4516961344537793,3.5321494,-0.0804532655462209
7915563,4.669707983193275,4.722647200000001,-0.05293921680672575
7915565,2.9171385714285707,2.991187600000001,-0.07404902857143014
7916016,4.189427226890756,3.9979264000000008,0.19150082689075543
7916018,3.914473529411767,3.93104,-0.016566470588232907
7916246,3.8250031932773103,3.9730204,-0.14801720672268948
7916491,3.1009801680672293,3.1617022,-0.060722031932770815
7917050,4.508412941176469,4.216618199999999,0.29179474117646986
7917739,3.5146260504201674,3.435027399999999,0.07959865042016823
7918048,3.687179495798319,4.024167600000001,-0.33698810420168224
7918149,4.31430731092437,3.9983047999999997,0.3160025109243705
7918153,7.810874285714285,7.6093774000000005,0.2014968857142847
7918465,3.1293967226890778,3.040145599999999,0.08925112268907887
7919131,5.620233697478994,5.801158799999999,-0.18092510252100436
7919382,4.6896546218487405,4.406863599999999,0.28279102184874105
7919386,6.347981512605042,6.514928200000001,-0.166946687394959
7919564,7.863543529411763,7.8184414,0.04510212941176306
7919568,5.288899243697481,5.334880399999998,-0.04598115630251698
7919578,4.158562268907564,4.3644110000000005,-0.20584873109243684
7919582,4.885537058823528,4.972042399999999,-0.0865053411764718
7919598,5.661504957983193,5.6027424,0.05876255798319274
7919600,5.4952170588235285,5.618364400000001,-0.1231473411764723
7919761,5.755125882352942,5.663377799999999,0.09174808235294307
7919778,2.9197676470588227,2.971765199999999,-0.05199755294117647
7919854,5.172691176470593,5.284913999999999,-0.1122228235294056
7920025,4.0979752941176475,4.106122000000001,-0.008146705882353444
7920333,2.773269999999999,2.7851336,-0.011863600000001195
7921031,3.9689349579831936,4.296407,-0.3274720420168067
7921621,5.289893361344539,5.3147892,-0.024895838655460523
7923440,2.472496470588236,2.4814046000000003,-0.008908129411764332
7923501,5.247439999999999,5.310117200000002,-0.0626772000000031
7923810,3.667540084033616,3.5998973999999997,0.06764268403361617
7923956,3.825126218487395,3.9598624000000004,-0.13473618151260558
7923965,3.039505462184875,3.3250366000000007,-0.28553113781512574
7924307,3.136152268907563,2.9451958,0.1909564689075629
7924819,3.321633613445379,3.5756626,-0.2540289865546206
7925128,6.241702941176471,6.264711199999998,-0.023008258823526972
7925244,5.802714705882353,5.859267200000001,-0.05655249411764718
7925318,4.013302857142857,4.083691999999999,-0.0703891428571426
7925436,2.8184489075630252,2.7717061999999997,0.046742707563025565
7925444,3.285043865546219,3.2442370000000005,0.040806865546218596
7925446,4.657491008403363,4.6421024,0.01538860840336298
7925609,2.8918515966386553,2.8565448,0.035306796638655324
7926443,5.360057815126046,5.5600376,-0.19997978487395418
7926484,5.454000588235293,5.687547400000001,-0.23354681176470748
7926894,4.168087394957984,4.3305012,-0.1624138050420152
7926934,3.888163529411765,3.937005600000001,-0.04884207058823575
7927527,5.25133193277311,5.192842400000001,0.058489532773108976
7927645,4.699168739495796,4.7866292,-0.08746046050420375
7928216,4.292534033613446,4.3518734,-0.05933936638655357
7928306,5.122963613445381,4.817665,0.30529861344538123
7928367,3.191423361344539,3.3666845999999997,-0.17526123865546062
7928489,6.55400949579832,6.473552599999998,0.08045689579832249
7928907,6.4019421848739535,6.533844200000001,-0.13190201512604727
7929256,5.416456302521005,5.334826799999998,0.08162950252100654
7930450,4.971434285714284,4.8270216,0.14441268571428356
7930559,5.51833470588235,5.627213200000001,-0.1088784941176506
7931346,2.9291359663865544,2.9086875999999995,0.020448366386554895
7932794,4.764772773109244,4.706761200000001,0.05801157310924321
7932883,5.779505966386552,5.7957452,-0.016239233613448256
7933043,5.4539956302521,5.4583282,-0.0043325697479001946
7933080,5.508526722689076,5.6223878,-0.11386107731092387
7933178,6.0250664705882375,6.1397152,-0.11464872941176285
7933593,5.25133193277311,5.192842400000001,0.058489532773108976
7933632,3.7156198319327727,3.603339,0.1122808319327726
7933634,4.880216890756301,4.743763200000001,0.13645369075629965
7933638,4.728106974789916,4.658106,0.07000097478991574
7933931,8.207073529411758,8.1028948,0.10417872941175865
7934154,5.137438571428571,5.099549999999999,0.037888571428571716
