accession,source_type,disease_identity,celltype_category,manuscript_identity,subclass_cell_identity,cell_count,mean_numi,mean_ngene,subject_count,library_count
GSE136831,scRNA-seq,IPF,Endothelial,VE_Peribronchial,Vascular-Endothelial_E_MT-tRNAs,102,8552.607843137255,2829.264705882353,3,3
GSE136831,scRNA-seq,IPF,Myeloid,Macrophage,Macrophage_Outlier_A,101,4898.297029702971,1810.1980198019803,16,22
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_T,96,8056.614583333333,2810.9375,23,26
GSE136831,scRNA-seq,IPF,Myeloid,Macrophage,Macrophage_Outlier_F,88,4323.818181818182,1644.9431818181818,10,17
GSE136831,scRNA-seq,IPF,Myeloid,Macrophage,Macrophage_Outlier_C,74,4146.9324324324325,1594.2027027027027,18,21
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_VE_Stromal,63,18148.920634920636,5263.31746031746,6,8
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_VascEndoB_VascEndoD,60,5286.016666666666,2360.0666666666666,17,19
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_NK_T,59,5385.745762711865,2418.2033898305085,19,24
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_Mast_Mac,58,6758.103448275862,2172.5689655172414,15,17
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_Lymphocyte_Secretory,52,9464.211538461539,3355.826923076923,12,14
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_Assort,49,7092.959183673469,2475.9591836734694,17,19
GSE136831,scRNA-seq,IPF,Epithelial,Goblet,Goblet_MT-tRNAs,47,17171.468085106382,4382.425531914893,1,1
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_T_Mac_A,45,8927.066666666668,3020.0444444444443,12,13
GSE136831,scRNA-seq,IPF,Myeloid,Macrophage_Alveolar,Macrophage_Alveolar_Outlier_B,44,7358.068181818182,2388.1363636363635,13,14
GSE136831,scRNA-seq,IPF,Stromal,SMC,Smooth-Muscle_MT-tRNAs,40,5909.625,2159.7,1,1
GSE136831,scRNA-seq,IPF,Myeloid,Macrophage_Alveolar,Macrophage_Alveolar_Outlier_A,37,6461.918918918919,2287.864864864865,18,19
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_Dend_T,34,13451.5,3752.764705882353,12,14
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_SMCs_Pericytes,32,4746.15625,2012.9375,14,16
GSE136831,scRNA-seq,IPF,Epithelial,Ciliated,Ciliated_FOXN4+,25,15459.88,5009.4,12,15
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_Macrophage_Mesothelial,24,7026.083333333333,2347.1666666666665,7,7
GSE136831,scRNA-seq,IPF,Epithelial,Ionocyte,Ionocyte,23,9707.739130434782,3547.608695652174,11,11
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_Lymphocytes_Fibroblast,22,9981.727272727272,3768.4545454545455,9,10
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_Macrophage_LymphEndo,22,11384.681818181818,3556.0454545454545,11,12
GSE136831,scRNA-seq,IPF,Multiplet,Multiplet,Multiplet_Treg_Mac,22,11747.40909090909,3522.590909090909,15,16
GSE136831,scRNA-seq,IPF,Myeloid,Macrophage,Macrophage_CellCycle_MT-tRNAs,21,23902.285714285714,5398.0,2,3
GSE136831,scRNA-seq,IPF,Myeloid,Macrophage_Alveolar,Macrophage_Alveolar_Outlier_E,21,3586.6190476190477,1601.047619047619,11,11
GSE136831,scRNA-seq,IPF,Epithelial,PNEC,Neuroendocrine,12,9724.75,3297.0833333333335,4,4
GSE136831,scRNA-seq,IPF,Lymphoid,B_Plasma,B_Plasma_LowInfo,12,4362.083333333333,793.0,5,5
GSE136831,scRNA-seq,IPF,Myeloid,Macrophage_Alveolar,Macrophage_Alveolar_Outlier_C,10,10761.2,3099.0,5,6
GSE136831,scRNA-seq,IPF,Myeloid,Macrophage_Alveolar,Macrophage_Alveolar_Outlier_F,5,8116.8,2303.8,5,5
GSE136831,scRNA-seq,IPF,Myeloid,Macrophage_Alveolar,Macrophage_Alveolar_Outlier_D,4,11402.75,3398.25,3,3
GSE136831,scRNA-seq,IPF,Epithelial,Ciliated,Ciliated_CellCycle_MT-tRNAs,2,10948.5,4537.0,2,2
