drugbank_id,drug_name,pseudo_label_score,pseudo_label_rank,target_overlap_count,target_overlap_weight,has_lincs_match,is_approved
DB09130,Copper,0.8,1,15,116.79784726043431,0,1
DB01593,Zinc,0.7150313410149894,2,22,100.25758650367565,0,1
DB14487,Zinc acetate,0.7150313410149894,3,22,100.25758650367565,0,1
DB14533,Zinc chloride,0.548130364920299,4,16,67.76812864780055,0,1
DB14548,"Zinc sulfate, unspecified form",0.49813036492029894,5,16,67.76812864780055,0,1
DB12010,Fostamatinib,0.4604334323415405,6,11,47.54802856412844,1,1
DB02546,Vorinostat,0.39999999999999997,7,0,0.0,1,1
DB00143,Glutathione,0.3110005767086809,8,5,21.607714007067734,0,1
DB00786,Marimastat,0.31088850189182216,9,7,50.785358993274286,0,0
DB00162,Vitamin A,0.30897522892001333,10,2,20.50719296771328,1,1
DB13995,Ferric pyrophosphate citrate,0.30759454227298927,11,2,20.944684857428243,0,1
DB09112,Nitrous acid,0.30759454227298927,12,2,20.944684857428243,0,1
DB09147,Ferric pyrophosphate,0.30759454227298927,13,2,20.944684857428243,0,1
DB09517,Sodium ferric gluconate complex,0.30759454227298927,14,2,20.944684857428243,0,1
DB06154,Pentaerythritol tetranitrate,0.30759454227298927,15,2,20.944684857428243,0,1
DB01373,Calcium,0.3062953117835028,16,5,20.691772650316334,0,1
DB11093,Calcium citrate,0.30317261753551195,17,4,20.08389937395322,0,1
DB11348,Calcium Phosphate,0.30317261753551195,18,4,20.08389937395322,0,1
DB14481,Calcium phosphate dihydrate,0.30317261753551195,19,4,20.08389937395322,0,1
DB11338,Clove oil,0.3026387944460571,20,3,29.71313766621235,0,1
DB00048,Collagenase clostridium histolyticum,0.3015262301232091,21,2,29.496562469799994,0,1
DB00768,Olopatadine,0.28359492469449893,22,3,15.890287583605573,1,1
DB01592,Iron,0.27887671226784216,23,2,15.354383653107757,0,1
DB14488,Ferrous gluconate,0.27887671226784216,24,2,15.354383653107757,0,1
DB14489,Ferrous succinate,0.27887671226784216,25,2,15.354383653107757,0,1
DB14490,Ferrous ascorbate,0.27887671226784216,26,2,15.354383653107757,0,1
DB14491,Ferrous fumarate,0.27887671226784216,27,2,15.354383653107757,0,1
DB14501,Ferrous glycine sulfate,0.27887671226784216,28,2,15.354383653107757,0,1
DB11672,Curcumin,0.27686952544266724,29,4,13.227434503098527,1,1
DB00157,NADH,0.27665025306964747,30,4,14.920974250837208,0,1
DB00795,Sulfasalazine,0.27453291618931847,31,2,14.067394057901055,1,1
DB01406,Danazol,0.2675327537247828,32,1,12.469300679603391,1,1
DB00128,Aspartic acid,0.26750019488427973,33,2,13.139795753572752,0,1
DB12267,Brigatinib,0.2642256422081839,34,2,12.502361248057944,0,1
DB11800,Tivozanib,0.2616727865453918,35,2,8.856669315655324,1,1
DB08865,Crizotinib,0.26055458869601655,36,2,8.491859853950354,1,1
DB00182,Amphetamine,0.26046588860168524,37,3,11.77047603561011,0,1
DB04272,Citric acid,0.25982915795794104,38,2,11.646528088153325,0,1
DB00755,Tretinoin,0.25941481515062936,39,3,10.594762512165076,1,1
DB15035,Zanubrutinib,0.25781510850623884,40,2,11.254467021095204,0,1
DB00893,Iron Dextran,0.2575945422729893,41,2,20.944684857428243,0,1
DB08818,Hyaluronic acid,0.25741780985882035,42,3,11.177127643198602,0,1
DB09526,Hydroquinone,0.25711866428696445,43,2,11.118895045181501,0,1
DB00775,Tirofiban,0.25711866428696445,44,2,11.118895045181501,0,1
DB01254,Dasatinib,0.25615577269832474,45,3,9.018666470248899,1,1
DB02659,Cholic Acid,0.2556331801277595,46,1,10.123465522052769,1,1
DB11750,Clobetasol,0.25548200854801645,47,1,10.123465522052769,1,1
DB00223,Diflorasone,0.2548773222290444,48,1,10.123465522052769,1,1
DB00502,Haloperidol,0.25484703299831213,49,2,9.764439025526077,1,1
DB00591,Fluocinolone acetonide,0.2542726359100724,50,1,10.123465522052769,1,1
DB00972,Azelastine,0.2542726359100724,51,1,10.123465522052769,1,1
DB00838,Clocortolone,0.2526097485328993,52,1,10.123465522052769,1,1
DB00679,Thioridazine,0.2521160972449803,53,1,4.024154714988533,1,1
DB09031,Miltefosine,0.25200506221392727,54,1,10.123465522052769,0,1
DB00368,Norepinephrine,0.25182360140345195,55,2,9.764439025526077,1,1
DB06706,Isometheptene,0.2507654003452509,56,2,9.764439025526077,1,1
DB01576,Dextroamphetamine,0.2501607140262789,57,2,9.764439025526077,0,1
DB00865,Benzphetamine,0.2501607140262789,58,2,9.764439025526077,0,1
DB13257,Ferrous sulfate anhydrous,0.24922743582053314,59,1,9.582764216649105,0,1
DB15617,Ferric derisomaltose,0.24922743582053314,60,1,9.582764216649105,0,1
DB14975,Voxelotor,0.24922743582053314,61,1,9.582764216649105,0,1
DB00197,Troglitazone,0.24852585449639292,62,1,3.943245035859202,1,1
DB01268,Sunitinib,0.24821851594826405,63,2,8.856669315655324,1,1
DB01942,Formic acid,0.24772656355642053,64,2,9.290599800880358,0,1
DB01016,Glyburide,0.24736861255227288,65,1,6.513587643953924,1,1
DB01050,Ibuprofen,0.24683891107284145,66,2,8.352690982043828,1,1
DB08916,Afatinib,0.2467321019919574,67,1,8.626174448867658,1,1
DB09079,Nintedanib,0.24634312963860922,68,2,7.608775088692584,1,1
DB00661,Verapamil,0.2457923980486557,69,2,6.030191725072567,1,1
DB00945,Acetylsalicylic acid,0.244669251849103,70,3,8.3717513146984,1,1
DB11963,Dacomitinib,0.24431335671606924,71,1,8.626174448867658,0,1
DB00988,Dopamine,0.24372394101656886,72,2,7.746321320621578,1,1
DB08875,Cabozantinib,0.24362337176479965,73,2,8.491859853950354,0,1
DB14860,Ensartinib,0.24362337176479965,74,2,8.491859853950354,0,1
DB01136,Carvedilol,0.2434064359214625,75,3,7.09596429858575,1,1
DB07776,Flavone,0.24340069869235492,76,1,8.448513628109673,0,1
DB11259,Diosmetin,0.24340069869235492,77,1,8.448513628109673,0,1
DB04821,Nomifensine,0.24190988205965275,78,2,7.746321320621578,1,1
DB00536,Guanidine,0.2417376333122619,79,1,8.124776201029295,0,1
DB15434,Mosunetuzumab,0.24169680928566545,80,2,17.849983208693878,0,1
DB16672,Epcoritamab,0.24169680928566545,81,2,17.849983208693878,0,1
DB00081,Tositumomab,0.24157083504015814,82,2,17.82546067421803,0,1
DB16371,Glofitamab,0.24137117444368303,83,2,17.78659412779965,0,1
DB16684,Odronextamab,0.24137117444368303,84,2,17.78659412779965,0,1
DB04743,Nimesulide,0.24135427756489125,85,2,7.402745438015069,1,1
DB00831,Trifluoperazine,0.24092940034399768,86,1,4.024154714988533,1,1
DB00441,Gemcitabine,0.23996918191925126,87,1,3.278112662575041,1,1
